                Block,1023,1024,1025,2046,2048,2050
                16,0.838795,0.918404,0.824739,6.560780,8.136170,6.379520
                32,0.696357,0.713719,0.688619,5.401080,5.905110,6.049400
                64,0.666950,0.674944,0.671568,4.887390,5.063990,4.800330
                128,0.674836,0.652920,0.685657,4.881760,5.015860,4.951530
                256,0.629240,0.604920,0.612800,4.557290,4.471350,4.595810
                512,0.610860,0.586087,0.594540,4.376350,4.386020,4.423910
                1024,0.720595,0.719093,0.743956,6.259490,6.060130,6.323920
                2048,0.720974,0.717308,0.740024,6.093770,6.269390,6.200000
                
