        Block,1023,1024,1025,2046,2048,2050
        16,0.893265,0.878508,0.787681,6.484090,8.104590,6.468300
        32,0.710967,0.702151,0.683897,5.388030,5.852990,5.497170
        64,0.673102,0.630565,0.629180,4.771340,5.008800,4.862740
        128,0.687309,0.642346,0.620790,4.863140,4.935920,4.899280
        256,0.610476,0.554412,0.593019,4.521920,4.397090,4.626760
        512,0.597203,0.572237,0.569430,4.354810,4.335210,4.536810
        1024,0.718978,0.722451,0.733281,6.361110,6.009580,7.814800
        2048,0.721888,0.721958,0.726196,6.156460,6.201340,6.157220
        
