    Block,1023,1024,1025,2046,2048,2050
    16,0.793446,0.886341,0.801337,6.439210,8.126130,6.606900
    32,0.665258,0.681334,0.685229,5.387410,5.874090,5.658080
    64,0.635098,0.628902,0.630492,4.786580,5.053240,5.137750
    128,0.637810,0.635453,0.639878,4.901310,4.902760,5.149390
    256,0.573094,0.567116,0.574363,4.598490,4.416660,4.777270
    512,0.561053,0.552188,0.579971,4.359200,4.432710,4.640320
    1024,0.725468,0.706114,0.733085,6.310960,6.007550,6.353000
    2048,0.732480,0.715358,0.739268,6.181470,6.248670,6.168310
    
